Naca foil,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Mach,Reynolds number,Max thickness,Max thickness location,Max camber,Max camber location,TE gap,LE radius,TE angle
12,6,0.7149,0.00696,0.00262,0.0025,0.0354,0.884,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,6.5,0.7739,0.00725,0.00295,0.0032,0.0295,0.9136,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7,0.8325,0.00757,0.00331,0.0042,0.025,0.9387,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,7.5,0.8906,0.00791,0.0037,0.0054,0.022,0.959,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8,0.9477,0.00831,0.00412,0.0069,0.0192,0.9756,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,8.5,1.0068,0.00879,0.0046,0.008,0.0167,0.9874,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9,1.0694,0.00927,0.0051,0.0084,0.0152,0.9945,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,9.5,1.1373,0.00988,0.00572,0.0078,0.0135,0.9969,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,10,1.2044,0.01051,0.00638,0.0075,0.0123,0.9989,0.3,7000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-10,-1.2018,0.01023,0.00617,-0.0082,0.9981,0.0117,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9.5,-1.1349,0.00958,0.00551,-0.0085,0.9959,0.0133,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-9,-1.0694,0.00905,0.00495,-0.0085,0.9917,0.0146,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8.5,-1.009,0.00856,0.00445,-0.0076,0.9816,0.0164,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-8,-0.9519,0.00813,0.004,-0.006,0.9671,0.0186,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7.5,-0.8939,0.00777,0.0036,-0.0047,0.9484,0.0209,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-7,-0.8356,0.00743,0.00322,-0.0036,0.9241,0.0239,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6.5,-0.7764,0.00712,0.00287,-0.0027,0.8971,0.0282,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-6,-0.717,0.00686,0.00255,-0.0021,0.8644,0.0334,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5.5,-0.6574,0.00663,0.00226,-0.0015,0.8266,0.0409,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-5,-0.5978,0.0064,0.00198,-0.001,0.7874,0.0513,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4.5,-0.538,0.00621,0.00175,-0.0007,0.7436,0.0632,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-4,-0.4784,0.00601,0.00152,-0.0004,0.7015,0.0822,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
12,-3,-0.359,0.00566,0.00116,0,0.6148,0.1338,0.3,8000000,0.120035,0.3,0,0.013,0.00252,0.01582,15.97
